Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE ETAWAH,993/RED/Account/Tender Notice/19-20 Dt 22.11.2019,2019_REDUP_415387_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,nit,21-Dec-2019 10:00 AM,27-Dec-2019 12:30 PM,21-Dec-2019 10:05 AM,26-Dec-2019 12:00 PM,NA ,NA ,21-Dec-2019 10:15 AM,26-Dec-2019 12:00 PM,28-Dec-2019 12:30 PM,"26,000",No,fixed,,"executive engineer, RED Etawah",Etawah,1.0,SBI Bank,860.0,"executive engineer, RED Etawah",Etawah,No,ee red etawah,pakka talab etawah,Const of CC Road at Vill Karri Chimara Road to Shri Mallu Khan shop to Shri Bhoore Sharma House in GP Beena Block Basrehar Distt Etawah,Const of CC Road at Vill Karri Chimara Road to Shri Mallu Khan shop to Shri Bhoore Sharma House in GP Beena Block Basrehar Distt Etawah,Please refer Tender documents. ,NA ,"12,85,000",Civil Works,NA ,Tender,90.0,60.0,etawah,206001.0,NA ,NA ,NA ,pakka talab etawah,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE KANPUR CIRCLE||EE ETAWAH,993/RED/Account/Tender Notice/19-20 Dt 22.11.2019,2019_REDUP_415387_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,nit,21-Dec-2019 10:00 AM,27-Dec-2019 12:30 PM,21-Dec-2019 10:05 AM,26-Dec-2019 12:00 PM,NA ,NA ,21-Dec-2019 10:15 AM,26-Dec-2019 12:00 PM,28-Dec-2019 12:30 PM,"26,000",No,fixed,,"executive engineer, RED Etawah",Etawah,1.0,SBI Bank,860.0,"executive engineer, RED Etawah",Etawah,No,ee red etawah,pakka talab etawah,Const of CC Road at Vill Karri Chimara Road to Shri Mallu Khan shop to Shri Bhoore Sharma House in GP Beena Block Basrehar Distt Etawah,Const of CC Road at Vill Karri Chimara Road to Shri Mallu Khan shop to Shri Bhoore Sharma House in GP Beena Block Basrehar Distt Etawah,Please refer Tender documents. ,NA ,"12,85,000",Civil Works,NA ,Tender,90.0,60.0,etawah,206001.0,NA ,NA ,NA ,pakka talab etawah,No ,No,29-Jan-2020,"INR 1,144,966",60.0,Phool Chandra Mishra,29-Jan-2020 01:36 PM,nagendra.pdf (110.00 KB),1.0,1516984.0,NAGENDER SINGH CONTRACTOR,INR,"1,144,966",1.0,1517054.0,Ashok Kumar Yadav,25-Dec-2019 04:22 PM,Rejected-Finance,AOC,29-Jan-2020 01:35 PM,Finance,Finance,Phool Chandra Mishra,29-Jan-2020 01:34 PM,finance_606455.pdf,BOQ Comparative Chart,Ashok,Internal,,Phool Chandra Mishra,29-Jan-2020 01:35 PM,finsummary_606455.pdf (109.99 KB),1.0,1516984.0,NAGENDER SINGH CONTRACTOR,"11,44,966.00",1.0,Technical,te report,Phool Chandra Mishra,27-Dec-2019 06:00 PM,technical_606455.pdf,ashok,Internal,,Phool Chandra Mishra,27-Dec-2019 06:12 PM,28-Dec-2019 12:30 PM,techsummary_606455.pdf (421.82 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1516984.0,NAGENDER SINGH CONTRACTOR,25-Dec-2019 04:01 PM,Accepted-AOC,AOC,29-Jan-2020 01:36 PM,,,,,,,,,,,,,2.0,1517054.0,Ashok Kumar Yadav,"11,47,949.00",2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_REDUP_415387_1,993/RED/Account/Tender Notice/19-20 Dt 22.11.2019,Const of CC Road at Vill Karri Chimara Road to Shri Mallu Khan shop to Shri Bhoore Sharma House in GP Beena Block Basrehar Distt Etawah
