Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No.3,Bid Number.2,Bidder Name.2,Value,Rank,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender ID :,Tender Ref No :,Tender Title :
Chief Engineer Moradabad Zone PWD Moradabad UP||RAMPUR CIRCLE PWD RAMPUR||PROVINCIAL DIVISION PWD BIJNOR,3880/E-Nivida-Rampur Circle/19-20 Dt. 23.10.2019,2019_CEMBD_405960_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,FEE EMD Technical Documents,21-Nov-2019 10:00 AM,28-Nov-2019 12:30 PM,21-Nov-2019 10:00 AM,27-Nov-2019 05:00 PM,NA ,NA ,21-Nov-2019 10:00 AM,27-Nov-2019 05:00 PM,20-Dec-2019 12:00 PM,"20,00,000",Yes,fixed,,Superintending Engineer Rampur Circle PWD Rampur,Rampur,1.0,SBI Bank,"2,354","Executive Engineer Provincial Division, PWD Bijnor",Bijnor,Yes,Superintending Engineer,Office of The Superintending Engineer Rampur Circle PWD Rampur,Widening and Strengthening of Dattiyana Chandpur Portion of Dattiyana Chandpur Noorpur Road (MDR-30W) Ch. 7.250 to 16.140,Widening and Strengthening of Dattiyana Chandpur Portion of Dattiyana Chandpur Noorpur Road (MDR-30W) Ch. 7.250 to 16.140,Please refer Tender documents. ,NA ,"10,00,00,000",Civil Works - Roads,NA ,Tender,120.0,365.0,Bijnor,246701.0,Rampur ,Office of The Superintending Engineer Rampur Circle PWD Rampur ,23-Nov-2019 12:00 PM ,Rampur,No ,No,Chief Engineer Moradabad Zone PWD Moradabad UP||RAMPUR CIRCLE PWD RAMPUR||PROVINCIAL DIVISION PWD BIJNOR,3880/E-Nivida-Rampur Circle/19-20 Dt. 23.10.2019,2019_CEMBD_405960_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,FEE EMD Technical Documents,21-Nov-2019 10:00 AM,28-Nov-2019 12:30 PM,21-Nov-2019 10:00 AM,27-Nov-2019 05:00 PM,NA ,NA ,21-Nov-2019 10:00 AM,27-Nov-2019 05:00 PM,20-Dec-2019 12:00 PM,"20,00,000",Yes,fixed,,Superintending Engineer Rampur Circle PWD Rampur,Rampur,1.0,SBI Bank,"2,354","Executive Engineer Provincial Division, PWD Bijnor",Bijnor,Yes,Superintending Engineer,Office of The Superintending Engineer Rampur Circle PWD Rampur,Widening and Strengthening of Dattiyana Chandpur Portion of Dattiyana Chandpur Noorpur Road (MDR-30W) Ch. 7.250 to 16.140,Widening and Strengthening of Dattiyana Chandpur Portion of Dattiyana Chandpur Noorpur Road (MDR-30W) Ch. 7.250 to 16.140,Please refer Tender documents. ,NA ,"10,00,00,000",Civil Works - Roads,NA ,Tender,120.0,365.0,Bijnor,246701.0,Rampur ,Office of The Superintending Engineer Rampur Circle PWD Rampur ,23-Nov-2019 12:00 PM ,Rampur,No ,No,05-Feb-2020,"INR 76,817,182.41",365.0,Sunil Sagar,05-Feb-2020 07:45 PM,dcn.pdf (142.00 KB),1.0,1474879.0,Seema Construction Co.,INR,"76,817,182.41",1.0,1467119.0,Ashok Kumar Chhabra Constructions Pvt.Ltd.,27-Nov-2019 04:21 PM,Rejected-AOC,L9,05-Feb-2020 07:45 PM,Finance,Nine Bids received and downloaded successfully,Sunil Sagar,20-Dec-2019 12:11 PM,None,BOQ Comparative Chart,Virendra Kumar,Internal,,Sunil Sagar,05-Feb-2020 07:38 PM,finsummary_590695.pdf (134.40 KB),1.0,1467119.0,Ashok Kumar Chhabra Constructions Pvt.Ltd.,"9,46,07,953.64",L9,Technical,Eleven bids received and downloaded successfully.,Sunil Sagar,29-Nov-2019 11:17 AM,None,Virendra Kumar,Internal,,Sunil Sagar,19-Dec-2019 04:45 PM,20-Dec-2019 12:00 PM,techsummary_590695.pdf (250.52 KB),,,
,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1471624.0,B.P.Construction,27-Nov-2019 10:23 AM,Rejected-Technical,Non-Responsive,19-Dec-2019 04:45 PM,,,,,,,,,,,,,2.0,1469066.0,Raja Infraconstruction Pvt Ltd,"8,49,16,074.23",L6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1469267.0,Jeet Construction,27-Nov-2019 04:11 PM,Rejected-AOC,L5,05-Feb-2020 07:45 PM,,,,,,,,,,,,,3.0,1469267.0,Jeet Construction,"8,47,01,565.83",L5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1475833.0,M/S CHAUDHARY ASSOCIATES,27-Nov-2019 10:21 AM,Rejected-AOC,L7,05-Feb-2020 07:45 PM,,,,,,,,,,,,,4.0,1469707.0,M/s Murari Construction,"8,38,43,532.24",L4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1477081.0,M/S M A DEVELOPERS AND ENGINEERS,27-Nov-2019 04:13 PM,Rejected-AOC,L8,05-Feb-2020 07:45 PM,,,,,,,,,,,,,5.0,1473089.0,SHARMA CONSTRUCTION,"8,17,17,949.03",L2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1469707.0,M/s Murari Construction,27-Nov-2019 11:27 AM,Rejected-AOC,L4,05-Feb-2020 07:45 PM,,,,,,,,,,,,,6.0,1474879.0,Seema Construction Co.,"7,60,13,975.73",L1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1476913.0,Preeti Buildcon Private Limited,27-Nov-2019 04:04 PM,Rejected-AOC,L3,05-Feb-2020 07:45 PM,,,,,,,,,,,,,7.0,1475833.0,M/S CHAUDHARY ASSOCIATES,"8,77,54,410.34",L7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1473628.0,Raja contractors & engineers,27-Nov-2019 11:13 AM,Rejected-Technical,Non-Responsive,19-Dec-2019 04:45 PM,,,,,,,,,,,,,8.0,1476913.0,Preeti Buildcon Private Limited,"8,33,07,261.24",L3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1469066.0,Raja Infraconstruction Pvt Ltd,26-Nov-2019 03:10 PM,Rejected-AOC,L6,05-Feb-2020 07:45 PM,,,,,,,,,,,,,9.0,1477081.0,M/S M A DEVELOPERS AND ENGINEERS,"8,98,40,016.98",L8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1474879.0,Seema Construction Co.,27-Nov-2019 12:29 PM,Accepted-AOC,L1,05-Feb-2020 07:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
